Time,BZ1,BZ2,BZ3,BZ4,Export
0,100,100,400,400,0
1,110,110,440,440,0
2,120,120,480,480,0
3,130,130,520,520,0
4,140,140,560,560,0
5,150,150,600,600,0
6,160,160,640,640,0
7,170,170,680,680,0
8,180,180,720,720,0
9,190,190,760,760,0
10,200,200,800,800,0
11,190,190,760,760,0
12,180,180,720,720,0
13,170,170,680,680,0
14,160,160,640,640,0
15,150,150,600,600,0
16,140,140,560,560,0
17,130,130,520,520,0
18,120,120,480,480,0
19,110,110,440,440,0
20,100,100,400,400,0
21,90,90,360,360,0
22,80,80,320,320,0
23,90,90,360,360,0
24,100,100,400,400,0
25,110,110,440,440,0
26,120,120,480,480,0
27,130,130,520,520,0
28,140,140,560,560,0
29,150,150,600,600,0
30,160,160,640,640,0
31,170,170,680,680,0
32,180,180,720,720,0
33,190,190,760,760,0
34,200,200,800,800,0
35,190,190,760,760,0
36,180,180,720,720,0
37,170,170,680,680,0
38,160,160,640,640,0
39,150,150,600,600,0
40,140,140,560,560,0
41,130,130,520,520,0
42,120,120,480,480,0
43,110,110,440,440,0
44,100,100,400,400,0
45,90,90,360,360,0
46,80,80,320,320,0
47,90,90,360,360,0
